Code,Local Authority,Income,2011 Affordability,Unemployment Rate,All visitors (Â£ millions),Tourists Ratio
E09000001,City of London,59240.0,8.66,9.246875,695.0,0.28215928268085977
E09000002,Barking and Dagenham,27360.0,6.56,12.6,120.0,0.0834953579934866
E09000003,Barnet,38120.0,10.08,7.4,578.0,0.07523241133937794
E09000004,Bexley,34440.0,6.77,7.6,240.0,0.08595173684723854
E09000005,Brent,30370.0,11.19,11.4,374.0,0.06898245154531168
E09000006,Bromley,40150.0,8.06,6.9,414.0,0.1156618707152735
E09000007,Camden,41120.0,13.96,8.0,1525.0,0.1405847393035353
E09000008,Croydon,34730.0,7.27,9.8,454.0,0.10929772345379409
E09000009,Ealing,34140.0,9.42,9.1,567.0,0.0730685584771188
E09000010,Enfield,31340.0,8.26,11.5,316.0,0.10748207191404603
E09000011,Greenwich,32660.0,8.17,10.5,329.0,0.15706402367078728
E09000012,Hackney,32270.0,9.21,11.3,219.0,0.09291421641915014
E09000013,Hammersmith and Fulham,41000.0,13.11,8.9,779.0,0.13978755180155678
E09000014,Haringey,33100.0,9.93,12.5,253.0,0.07427912561224295
E09000015,Harrow,36620.0,9.55,7.1,232.0,0.12174755286831716
E09000016,Havering,34230.0,7.29,8.0,317.0,0.10118021482561994
E09000017,Hillingdon,34810.0,8.13,8.1,712.0,0.09253834487144989
E09000018,Hounslow,33420.0,8.55,7.7,370.0,0.06928628177966102
E09000019,Islington,37220.0,11.18,9.8,431.0,0.10283735628319775
E09000020,Kensington and Chelsea,51720.0,16.48,7.3,1868.0,0.2841100704955001
E09000021,Kingston upon Thames,41240.0,8.6,6.3,335.0,0.10867128387845791
E09000022,Lambeth,35990.0,8.95,10.2,733.0,0.10193680296020831
E09000023,Lewisham,33420.0,8.08,10.6,229.0,0.10217226876586806
E09000024,Merton,39260.0,8.93,7.3,328.0,0.08524168042766381
E09000025,Newham,26380.0,8.12,15.2,380.0,0.11336133995307981
E09000026,Redbridge,34590.0,7.76,9.8,256.0,0.0666607782768889
E09000027,Richmond upon Thames,49800.0,10.21,5.1,469.0,0.11228294387318412
E09000028,Southwark,34500.0,9.69,10.6,779.0,0.09003821402993345
E09000029,Sutton,37230.0,8.0,6.8,183.0,0.09445521997475448
E09000030,Tower Hamlets,32340.0,8.87,13.0,818.0,0.0795861585032515
E09000031,Waltham Forest,30870.0,8.51,10.9,199.0,0.058945166734009936
E09000032,Wandsworth,44330.0,10.64,7.1,420.0,0.11925141325986342
E09000033,Westminster,44530.0,14.59,7.5,6068.0,0.24390622595657316
